,latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan,Prediksi,prediksi_normal
82,-7.206543963,107.3448706,2953.2,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
83,-7.202974772,107.3639063,2962.28,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
84,-7.193456928,107.4022751,2858.23,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
85,-7.19238617,107.4094135,2819.95,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
86,-7.210589047,107.420478,2641.78,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
87,-7.222724298,107.4029889,2717.65,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
88,-7.229505762,107.3926383,2730.33,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
89,-7.230933438,107.4136965,2618.81,0.125,0.8571428571428572,0.6666666666666666,Podsolik,Hutan,0.9999262,1
90,-7.222724298,107.4161949,2638.79,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
91,-7.213801319,107.3933521,2815.5,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
92,-7.253062426,107.420121,2504.88,1.0,0.8571428571428572,0.6666666666666666,Podsolik,Permukiman,0.9999926,1
93,-7.248422477,107.4083427,2571.51,0.125,0.8571428571428572,0.6666666666666666,Podsolik,Hutan,0.9999262,1
94,-7.24306869,107.4215487,2524.08,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
95,-7.235930307,107.4215487,2543.94,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
96,-7.231290358,107.4383239,2442.12,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
