latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan
-7.011324,107.659414,2208.42,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.032621227,107.6575119,2192.91,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.000669999,107.68438,2176.82,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.998713907,107.6973679,2153.66,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.007636886,107.7092652,2134.17,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.059342001,107.679338,2140.75,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.047647,107.682326,2147.68,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.979837,107.677323,2185.73,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.976703893,107.6908244,2166.96,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.974916,107.708902,2138.01,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.979678219,107.696773,2157.81,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.990477,107.684911,2177.91,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-7.008826617,107.6741682,2190.33,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.015370134,107.6652452,2197.57,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.038569879,107.670599,2172.41,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.0294449,107.7102078,2122.43,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.0704345,107.6762727,2133.44,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.0266238,107.6420269,2213.86,0.375,0.5714285714285714,0.33333333333333337,Latosol,Semak Belukar
-6.9939446,107.6437004,2232.58,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.989657,107.657223,2217.06,0.0,0.7142857142857142,0.33333333333333337,Aluvial,Perkebunan/Kebun
-6.976062877,107.6536286,2215.83,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.985652001,107.649301,2225.6,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.990219,107.660861,2211.67,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.98197601,107.667777,2201.09,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.975507001,107.668628,2198.32,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.871197484,107.7214642,2124.43,0.0,0.2857142857142857,0.33333333333333337,Andosol,Perkebunan/Kebun
-7.056841,107.650872,2169.56,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.052846645,107.6444249,2180.42,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.019534191,107.6456146,2216.99,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.036190418,107.6283635,2208.75,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.066528546,107.6456146,2160.39,0.5,0.2857142857142857,0.33333333333333337,Andosol,Tegalan/Ladang
-7.009469071,107.7130961,2126.97,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.008707644,107.7157611,2120.89,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.018673,107.706265,2133.83,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.007184789,107.701294,2144.19,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.012324424,107.7051011,2139.45,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.993288736,107.7085276,2137.19,0.5,0.7142857142857142,0.33333333333333337,Aluvial,Tegalan/Ladang
-7.00528122,107.7041494,2141.46,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.991385167,107.7030072,2147.73,1.0,0.7142857142857142,0.33333333333333337,Aluvial,Permukiman
-6.997426,107.716897,2122.75,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.992551,107.72149,2112.89,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.998428372,107.7239465,2108.81,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.971382,107.718782,2121.1,1.0,0.7142857142857142,0.33333333333333337,Aluvial,Permukiman
-6.975585546,107.7205201,2117.46,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.979963755,107.7224236,2113.69,1.0,0.7142857142857142,0.33333333333333337,Aluvial,Permukiman
-6.97901197,107.7262308,2106.38,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.987259,107.726277,2105.93,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.987674864,107.7209964,2116.79,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.990387001,107.718334,2120.18,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.986626245,107.717284,2124.04,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.977108401,107.6953929,2157.58,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.974443405,107.6980579,2153.87,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.979583041,107.7003422,2151.34,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.989485,107.694927,2161.4,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.994430878,107.6931087,2161.07,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.99671516,107.6902533,2167.54,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.985864818,107.6632226,2208.06,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.980948001,107.66522,2203.92,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.984341963,107.6702658,2198.85,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.983728403,107.6772119,2186.78,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.975775903,107.6830197,2175.54,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.97596626,107.6862558,2172.56,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.994259,107.680655,2184.31,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-7.002616223,107.6769283,2189.39,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.006716,107.69002,2165.02,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.020118,107.693372,2151.92,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.025268692,107.6946315,2148.33,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.025078335,107.6908244,2154.45,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.029837257,107.6851137,2157.58,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.031550469,107.6866365,2156.03,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.039355101,107.6891112,2144.09,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.049063302,107.6670298,2164.14,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.0541343,107.6712431,2153.36,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.035357607,107.6938701,2141.54,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
